month,period_start,import_value_usd,quantity_kg,calculated_duty_usd,observed_effective_duty_rate,observed_effective_duty_rate_pct,reported_hs6_count,positive_trade_hs6_count,section232_rate_month_start,section232_rate_month_end,section232_rate_day_weighted,section232_rate_clean_month,policy_regime,is_transition_month,include_clean_month_analysis,import_value_yoy_change,quantity_yoy_change
2024-01,2024-01-01,711419729,,0,0.0,0.0,134,134,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-02,2024-02-01,640194706,,0,0.0,0.0,145,136,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-03,2024-03-01,678194982,,0,0.0,0.0,152,141,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-04,2024-04-01,677893713,,0,0.0,0.0,155,134,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-05,2024-05-01,645876671,,0,0.0,0.0,156,134,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-06,2024-06-01,621603107,,0,0.0,0.0,157,134,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-07,2024-07-01,577631097,,0,0.0,0.0,157,128,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-08,2024-08-01,530731507,,0,0.0,0.0,158,136,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-09,2024-09-01,524244395,,0,0.0,0.0,159,133,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-10,2024-10-01,559253598,,0,0.0,0.0,159,133,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-11,2024-11-01,471982411,,0,0.0,0.0,159,137,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2024-12,2024-12-01,495831699,,0,0.0,0.0,160,131,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,,
2025-01,2025-01-01,638128476,,0,0.0,0.0,138,138,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,-0.1030211139955608,
2025-02,2025-02-01,494119724,,0,0.0,0.0,144,132,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,-0.22817274280927902,
2025-03,2025-03-01,513127412,,2183600,0.00425547329753648,0.425547329753648,150,131,0.0,0.25,0.16129032258064516,,transition_0_to_25,True,False,-0.24339249682033182,
2025-04,2025-04-01,447615437,,102148001,0.22820482172065928,22.82048217206593,150,117,0.25,0.25,0.25,0.25,25_percent,False,True,-0.33969672764910275,
2025-05,2025-05-01,412214886,,93164728,0.2260101009549665,22.601010095496648,153,123,0.25,0.25,0.25,0.25,25_percent,False,True,-0.3617746165660781,
2025-06,2025-06-01,361197913,,145463961,0.40272647145666096,40.27264714566609,156,125,0.25,0.5,0.475,,transition_25_to_50,True,False,-0.41892518082281727,
2025-07,2025-07-01,320813859,,144638926,0.4508499927367539,45.08499927367539,156,118,0.5,0.5,0.5,0.5,50_percent,False,True,-0.44460424539782006,
2025-08,2025-08-01,287356017,,129900913,0.45205565679872295,45.205565679872294,158,117,0.5,0.5,0.5,0.5,50_percent,False,True,-0.45856612390641427,
2025-09,2025-09-01,302846177,,129662638,0.4281468542361689,42.814685423616886,158,119,0.5,0.5,0.5,0.5,50_percent,False,True,-0.4223187126302037,
2025-10,2025-10-01,280194522,,123973266,0.44245428181497426,44.245428181497424,159,119,0.5,0.5,0.5,0.5,50_percent,False,True,-0.49898485588285835,
2025-11,2025-11-01,244116257,,109825089,0.4498884685094938,44.98884685094938,160,123,0.5,0.5,0.5,0.5,50_percent,False,True,-0.48278526633485075,
2025-12,2025-12-01,204431682,,89125167,0.43596553199616095,43.596553199616096,161,119,0.5,0.5,0.5,0.5,50_percent,False,True,-0.5876994504137178,
