hts10,hs6,description,short_description,quantity_unit_1,quantity_unit_2,sitc,end_use,naics,hts_vintage,scope,scope_basis
7206100000,720610,IRON AND NONALLOY STEEL INGOTS,IRON AND NONALLOY STEEL INGOTS,KG,,67241,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7206900000,720690,"IRON AND NONALLOY STEEL, PRIMARY FORMS NOT INGOTS","IRON AND NONALLOY STEEL, PRIMARY FORMS NOT INGOTS",KG,,67245,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207110000,720711,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL UNDER 0.25 PERCENT CARBON RECTANGULAR OR SQUARE CROSS-SECTION WIDTH LESS THAN TWICE THE THICKNESS,"SMFD IOS NA LT.25% CRBN,REC/SQ CS WDTH LT 2X THKNS",KG,,67261,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207120010,720712,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL UNDER 0.25 PERCENT CARBON RECTANGLR  CROSS-SECTION WIDTH LESS THN 4 TIMES THE THICKNESS,SEMI IRON/STL LT .25%CARBON XSECT WDTH LT 4X THK,KG,,67262,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207120050,720712,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL UNDER 0.25 PERCENT CARBON RECTANGULAR CROSS-SECTION WIDTH AT LEAST 4 TIMES THE THICKNESS,SEMIFIN IR/STL LT 0.25%CARB CROS-SECT WD GT=4X THK,KG,,67262,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207190030,720719,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL UNDER 0.25 PERCENT CARBON CIRCULAR CROSS-SECTION,SEMIFIN IRON/STL LT 0.25% CARBON CIRCULAR XSECT,KG,,67269,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207190090,720719,"OTHER SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL UNDER 0.25 PERCENT CARBON, OTHER",SEMIFINISHED IRON/NALLOY STL LT 0.25% CARB; NESOI,KG,,67269,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207200025,720720,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL 0.25 PERCENT OR MORE CARBON RECTANGULAR OR SQUARE CROSS-SECTION WIDTH LESS THAN 4 TIMES THE THICKNESS,SEMI IRON/STL GT=0.25% CRB RECT/SQR XSEC LT 4XTHK,KG,,67270,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207200045,720720,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL 0.25 PERCENT OR MORE CARBON RECTANGULAR OR SQUARE CROSS-SECTION WIDTH AT LEAST 4 TIMES THE THICKNESS,SMFD IOS NA GT=.25% CRB AO RCT/SQ CS WDH GT=4XTH,KG,,67270,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207200075,720720,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL 0.25 PERCENT OR MORE CARBON CIRCULAR CROSS-SECTION,SMFD IOS NA GT=.25PCT CRBN AO CIRC CRSS-SCTN,KG,,67270,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7207200090,720720,"SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL 0.25 PERCENT OR MORE CARBON, CROSS-SECTION OTHER THAN CIRCULAR, RECTANGULAR OR SQUARE",SMFD IOS NA GT=.25% CRBN AO CRS-SEC NT CIR REC SQR,KG,,67270,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208101500,720810,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF","FLT RLD IOS NA CLS,GT/=600MM WD,HT RLD,PKLD,PATRN",KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208103000,720810,"FLAT-ROLLED IRON OR NONALLOY STEEL, 600MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, COILS, PATTERNS IN RELIEF, THICKNESS OF 4.75MM OR MORE",FLT RLD IR/NALLOY STL GT=600MM;HOT ROLL; GT=4.75MM,KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208106000,720810,"FLAT-ROLLED IRON OR NONALLOY STEEL, 600MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, COILS, PATTERNS IN RELIEF, LESS THAN 4.75MM THICK",FLT RLD IR/NALLOY STL GT=600MM; HOT ROLL;LT=4.75MM,KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208253000,720825,"FLAT-ROLLED HIGH-STRENGH IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, 4.75 MM OR MORE THICK","FLT RLD HI-STR IOS NA CLS,GT/= 600MM,PKLD,4.75MM T",KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208256000,720825,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, NT HI-STR, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, 4.75 MM OR MORE THICK","FLT RLD IOS NA CLS,GT/=600MM,PKLD,4.75MM THK,NT HI",KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208260030,720826,"FLAT-ROLLED HIGH-STRENGTH STEEL OF A WIDTH >600 MM, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED, PICKLED, OF A THICKNESS >3 MM BUT < 4.75 MM",FLT-RLD HI-STR STL CLS HOT-RLD PICKLD 3-4.75MM THK,KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208260060,720826,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS,NT HI-STR, 600 MM OR MORE WIDE,HOT-ROLLED,NOT CLAD,PLATED OR COATED,PICKLED,GT/=3 MM TO LT 4.75MM THICK","FLT RLD IOS NA CLS,GT/=600MM,PKLD,3-4.75MMTHCK",KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
7208270040,720827,"FLAT-ROLLED ADVANCED OR ULTRA HIGH-STRENGTH STEEL OF A WIDTH >600 MM, IN COILS, NOT FURTHER WORKED THAN HOT-ROLLED, PICKLED, OF A THICKNESS LT 3 MM",FLT-RLD AHSS OR UHSS COILS HOT-RLD PICKLED LT 3 MM,KG,,67321,14100,331110,2025,section232_core_steel,Proclamation 9705 core steel range 7206.10-7216.50
