rank,hs6,product_name,hs6_description,base_year,current_year,base_year_value_usd,current_year_value_usd,change_usd,change_pct,share_of_total_decline_pct
1,721049,Zinc-coated flat-rolled steel,"FLAT-ROLLED IRON OR NONALLOY STEEL PRODUCTS, NOT CORRUGATED, 600 MM OR MORE WIDE, PLATED OR COATED WITH ZINC OTHER THAN ELECTROLYTICALLY",2024,2025,817275018,536570556,-280704462,-0.34346389626215146,10.678471065812817
2,730661,Welded rectangular steel tube,"TUBES, PIPES AND HOLLOW PROFILES, OF IRON OR STEEL, WELDED, OF A SQUARE OR RECTANGULAR CROSS-SECTION, NESOI",2024,2025,447899317,235107810,-212791507,-0.47508781309438786,8.094947740981066
3,720837,"Hot-rolled coil, 4.75-10 mm","FLAT-ROLLED PRODUCTS OF IRN OR NONALLOY STEEL, WIDTH OF 600MM OR MORE, IN COILS, HOT-ROLLED WORKED ONLY, OF A THICKNESS 4.75MM BUT NOT OVER 10MM NESOI",2024,2025,241700626,115346809,-126353817,-0.5227699203393872,4.8067122598482515
4,722530,Hot-rolled alloy-steel coil,"FLAT-ROLLED ALLOY STEEL (OTHER THAN STAINLESS) IN COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NESOI",2024,2025,233167321,107989534,-125177787,-0.5368581946352593,4.761974095595173
5,720838,"Hot-rolled coil, 3-4.75 mm","FLAT-ROLLED PRODUCTS OF IRON OR NONALLOY STEEL,WIDTH 600MM OR MORE,IN COILS,HOT-ROLLED WORKED ONLY, OF A THICKNESS 3MM OR MORE BUT UNDER 4.75MM, NESOI",2024,2025,222897410,107924060,-114973350,-0.5158128575832264,4.373780105121984
6,720917,"Cold-rolled coil, 0.5-1 mm","FLAT-ROLLED PRODUCTS OF IRON OR NONALLOY STEEL, WIDTH 600MM OR MORE, IN COILS, COLD-ROLLED WORKED ONLY, OF A THICKNESS 0.5MM OR MORE BUT NOT OVER 1MM",2024,2025,214103254,114499608,-99603646,-0.4652131349671127,3.7890906481581417
7,721391,"Hot-rolled bars/rods, under 14 mm","BARS AND RODS,HOT-ROLLED, IN IRREGULARLY WOUND COILS, OF IRON OR NONALLOY STEEL, OF CIRCULAR CROSS-SECTION MEASURING LESS THAN 14MM IN DIAMETER, NESOI",2024,2025,300473574,201197321,-99276253,-0.3303992816353294,3.776636066379354
8,720839,"Hot-rolled coil, under 3 mm","FLAT-ROLLED PRODUCTS OF IRON OR NONALLOY STEEL,WIDTH 600MM OR MORE,IN COILS,HOT-ROLLED WORKED ONLY, OF A THICKNESS OF LESS THAN 3MM, N.E.S.O.I.",2024,2025,181406980,85297457,-96109523,-0.5298005787869904,3.6561683173549673
9,720916,"Cold-rolled coil, 1-3 mm","FLAT-ROLLED PRODUCTS OF IRON OR NONALLOY STEEL, WIDTH 600MM OR MORE, IN COILS,COLD-ROLLED WORKED ONLY, OF A THICKNESS OVER ONE MM BUT LESS THAN 3 MM",2024,2025,219426085,124338041,-95088044,-0.4333488609615397,3.6173095337498977
10,720712,Semifinished rectangular steel,"SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL, UNDER 0.25% (WT.) CARBON, RECTANGULAR CROSS SECTION, WIDTH NOT LESS THAN TWICE THE THICKNESS",2024,2025,171668068,80909142,-90758926,-0.5286884570751971,3.452622585155937
