month,country_code,country_name,hts10_description,quantity_unit,import_value_usd,quantity_1,dutiable_value_usd,calculated_duty_usd,source_last_update,source_row_count,hts10,hs6,hts_vintage,hs6_harmonization_method,is_section232_core_steel,core_steel_range_note,concordance_status,section232_rate_month_start,section232_rate_month_end,section232_rate_day_weighted,section232_rate_clean_month,policy_regime,is_transition_month,include_clean_month_analysis,rate_provisions,observed_effective_duty_rate,period_start,data_status
2025-01,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,111565,156594,0,0,0,2,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,-|10,0.0,2025-01-01,official_census_api
2025-02,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,91190,163466,0,0,0,2,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.0,0.0,0.0,0.0,no_section232_tariff,False,True,-|10,0.0,2025-02-01,official_census_api
2025-03,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,46308,88864,0,0,0,3,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.0,0.25,0.16129032258064516,,transition_0_to_25,True,False,-|10|19,0.0,2025-03-01,official_census_api
2025-04,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,0,0,0,0,0,3,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.25,0.25,0.25,0.25,25_percent,False,True,-|10|19,,2025-04-01,official_census_api
2025-05,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,13746,19876,13746,3436,0,4,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.25,0.25,0.25,0.25,25_percent,False,True,-|10|19|69,0.24996362578204567,2025-05-01,official_census_api
2025-06,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,29683,54317,29683,7421,0,4,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.25,0.5,0.475,,transition_25_to_50,True,False,-|10|19|69,0.2500084223292794,2025-06-01,official_census_api
2025-07,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,0,0,0,0,0,4,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.5,0.5,0.5,0.5,50_percent,False,True,-|10|19|69,,2025-07-01,official_census_api
2025-08,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,0,0,0,0,0,4,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.5,0.5,0.5,0.5,50_percent,False,True,-|10|19|69,,2025-08-01,official_census_api
2025-09,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,0,0,0,0,0,4,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.5,0.5,0.5,0.5,50_percent,False,True,-|10|19|69,,2025-09-01,official_census_api
2025-10,1220,CANADA,"FLAT-ROLLED IRON OR NONALLOY STEEL COILS, 600 MM OR MORE WIDE, HOT-ROLLED, NOT CLAD, PLATED OR COATED, PICKLED, WITH PATTERNS IN RELIEF",KG,10000,17423,10000,0,0,5,7208101500,720810,2025,prefix,True,Proclamation 9705 core steel range 7206.10-7216.50,same-vintage; future crosswalk required for longitudinal revisions,0.5,0.5,0.5,0.5,50_percent,False,True,-|10|19|69|79,0.0,2025-10-01,official_census_api
